timestamp,location,vehicle_count,avg_speed,day_of_week,rainfall,clouds,temperature,congestion_label
2023-01-07 12:30:00,Bus Stand,934,41.3,Saturday,0.0,47,23.0,Medium
2023-03-11 22:30:00,Market Square,192,33.7,Saturday,0.19,45,31.2,Low
2023-01-15 00:00:00,Railway Station,126,62.8,Sunday,0.0,20,17.4,Low
2023-02-26 08:00:00,Railway Station,910,57.0,Sunday,0.0,37,23.8,Medium
2023-01-07 07:30:00,Hospital Road,263,39.8,Saturday,0.0,49,21.3,Low
2023-02-07 14:00:00,Old Town,407,30.0,Tuesday,0.0,25,27.6,Medium
2023-03-08 17:00:00,City Center,1813,29.1,Wednesday,0.0,25,30.2,Medium
2023-02-28 13:00:00,Old Town,490,21.1,Tuesday,0.0,43,26.1,Medium
2023-01-15 21:30:00,IT Park,531,51.8,Sunday,0.0,19,22.1,Medium
2023-03-04 07:00:00,Bus Stand,403,40.9,Saturday,0.0,40,29.2,Medium
2023-02-17 07:00:00,Bus Stand,795,45.0,Friday,0.0,30,23.8,Medium
2023-03-03 11:30:00,Bus Stand,899,37.3,Friday,0.0,20,33.5,Medium
2023-02-18 12:30:00,Hospital Road,656,35.4,Saturday,0.0,19,26.8,Medium
2023-02-27 14:00:00,Airport Road,1242,63.9,Monday,0.0,10,28.2,Medium
2023-02-28 22:30:00,Airport Road,379,71.7,Tuesday,0.0,37,21.3,Medium
2023-01-08 02:30:00,Bus Stand,68,45.3,Sunday,0.0,13,14.0,Low
2023-02-08 06:30:00,City Center,632,41.4,Wednesday,0.0,14,23.4,Medium
2023-03-06 02:30:00,IT Park,91,57.8,Monday,0.0,20,24.4,Low
2023-02-27 07:00:00,Airport Road,1744,42.8,Monday,0.0,12,24.0,Medium
2023-02-23 13:30:00,School Zone,471,20.5,Thursday,0.0,17,28.6,Medium
2023-01-24 15:00:00,Airport Road,996,55.1,Tuesday,0.0,26,22.9,Medium
2023-01-08 16:30:00,School Zone,376,18.3,Sunday,0.0,41,25.4,High
2023-02-15 20:00:00,Bus Stand,1118,32.8,Wednesday,0.0,22,25.7,Medium
2023-02-01 19:30:00,Tech Hub,1467,37.9,Wednesday,0.0,46,27.3,Medium
2023-02-13 23:30:00,City Center,241,47.3,Monday,0.0,47,20.9,Low
2023-01-20 16:30:00,Market Square,788,32.1,Friday,0.0,44,26.2,Medium
2023-01-08 22:30:00,Airport Road,490,54.9,Sunday,0.0,12,19.5,Medium
2023-01-18 15:30:00,Bus Stand,777,41.8,Wednesday,0.0,25,25.8,Medium
2023-02-04 15:00:00,Hospital Road,462,34.5,Saturday,0.2,79,26.1,Medium
2023-01-05 15:00:00,Airport Road,1135,63.2,Thursday,0.0,47,24.6,Medium
2023-02-06 02:00:00,Airport Road,120,68.2,Monday,0.0,24,16.1,Low
2023-01-04 18:30:00,Tech Hub,1590,37.9,Wednesday,0.0,24,25.2,Medium
2023-02-24 20:30:00,Tech Hub,1038,50.0,Friday,0.0,37,25.1,Medium
2023-02-21 14:30:00,School Zone,377,20.4,Tuesday,0.0,47,26.8,Medium
2023-02-05 09:00:00,Old Town,352,29.5,Sunday,0.0,42,24.7,Medium
2023-01-01 13:30:00,School Zone,346,21.2,Sunday,0.0,44,27.5,Medium
2023-02-12 07:30:00,Airport Road,600,69.0,Sunday,0.0,42,23.2,Medium
2023-01-15 11:30:00,Railway Station,1023,56.6,Sunday,0.0,33,25.4,Medium
2023-01-05 14:00:00,Airport Road,1385,55.6,Thursday,0.0,35,24.9,Medium
2023-01-03 07:30:00,Hospital Road,448,40.2,Tuesday,0.0,10,19.1,Medium
2023-02-18 16:30:00,Hospital Road,428,35.9,Saturday,0.0,15,27.1,Medium
2023-02-09 06:30:00,School Zone,196,22.0,Thursday,0.0,31,23.0,Low
2023-03-09 08:00:00,Tech Hub,1234,45.5,Thursday,0.0,35,31.0,Medium
2023-02-03 16:00:00,City Center,1050,48.6,Friday,0.0,17,27.5,Medium
2023-01-20 04:00:00,Railway Station,107,59.0,Friday,0.0,14,13.2,Low
2023-01-03 16:00:00,Hospital Road,546,36.2,Tuesday,0.0,24,26.0,Medium
2023-01-26 06:30:00,Railway Station,608,57.4,Thursday,0.0,25,18.9,Medium
2023-01-01 14:30:00,Railway Station,1358,45.9,Sunday,0.0,24,24.1,Medium
2023-01-01 05:00:00,Railway Station,165,59.0,Sunday,0.0,32,18.1,Low
2023-01-28 10:30:00,Bus Stand,784,41.3,Saturday,0.0,32,23.3,Medium
2023-02-13 11:30:00,Bus Stand,729,44.0,Monday,0.0,38,27.3,Medium
2023-01-23 17:30:00,Hospital Road,931,22.8,Monday,0.0,11,23.2,Medium
2023-02-10 16:30:00,Airport Road,1489,53.6,Friday,0.0,29,30.1,Medium
2023-01-01 17:00:00,Hospital Road,674,29.9,Sunday,0.0,38,22.6,Medium
2023-02-01 19:00:00,Market Square,1024,25.1,Wednesday,2.84,67,24.7,Medium
2023-01-09 11:00:00,School Zone,255,20.6,Monday,4.02,65,21.7,Medium
2023-02-17 21:30:00,IT Park,507,44.4,Friday,0.0,18,24.6,Medium
2023-02-18 16:00:00,Tech Hub,909,55.7,Saturday,0.0,20,26.6,Medium
2023-03-08 05:30:00,Old Town,103,30.6,Wednesday,0.0,32,26.4,Low
2023-02-02 04:30:00,Market Square,77,41.6,Thursday,0.0,25,15.5,Low
2023-02-11 08:30:00,Tech Hub,762,61.4,Saturday,0.0,42,23.4,Medium
2023-01-11 15:30:00,Tech Hub,750,62.7,Wednesday,0.0,29,23.9,Medium
2023-01-09 11:00:00,Old Town,420,26.4,Monday,0.0,35,27.3,Medium
2023-01-06 19:30:00,City Center,1841,28.0,Friday,0.0,45,24.0,Medium
2023-01-14 08:30:00,Old Town,398,26.9,Saturday,0.0,32,21.0,Medium
2023-02-15 15:00:00,Hospital Road,452,42.0,Wednesday,0.0,25,27.2,Medium
2023-02-20 23:00:00,Bus Stand,173,43.8,Monday,0.0,40,21.3,Low
2023-02-20 04:00:00,IT Park,98,57.8,Monday,0.0,45,17.9,Low
2023-01-16 05:00:00,Tech Hub,172,64.3,Monday,0.0,35,18.7,Low
2023-03-06 14:30:00,School Zone,313,22.7,Monday,0.0,11,34.4,Medium
2023-02-09 04:30:00,School Zone,25,22.0,Thursday,0.0,45,19.5,Low
2023-02-18 06:30:00,Tech Hub,254,62.0,Saturday,0.0,16,22.7,Low
2023-01-25 18:00:00,City Center,1369,41.0,Wednesday,0.0,29,23.4,Medium
2023-01-02 16:30:00,IT Park,696,45.7,Monday,0.0,38,24.5,Medium
2023-03-04 21:30:00,Old Town,269,30.0,Saturday,0.0,45,29.6,Medium
2023-01-25 09:30:00,Railway Station,1800,32.6,Wednesday,0.0,41,22.7,Medium
2023-01-25 23:00:00,Bus Stand,165,45.6,Wednesday,0.0,46,17.5,Low
2023-02-27 19:30:00,Bus Stand,1153,33.2,Monday,0.0,31,25.4,Medium
2023-02-12 19:00:00,Old Town,429,21.7,Sunday,0.0,33,27.5,Medium
2023-02-03 14:00:00,Railway Station,1084,47.3,Friday,0.0,14,29.7,Medium
2023-01-22 00:00:00,IT Park,92,54.0,Sunday,0.0,12,12.7,Low
